Datetime,Day,Month,Year,true_index
4/10/71,10,4,1971,9
5/18/71,18,5,1971,84
7/11/71,11,7,1971,53
7/8/71,8,7,1971,2
9/12/71,12,9,1971,28
1/26/72,26,1,1972,13
5/13/72,13,5,1972,98
6/10/72,10,6,1972,111
7/20/72,20,7,1972,31
12/01/73,1,12,1973,57
2/14/73,14,2,1973,36
2/24/74,24,2,1974,104
4/12/74,12,4,1974,73
5/04/74,4,5,1974,108
11/22/75,22,11,1975,50
2/28/75,28,2,1975,49
4/09/75,9,4,1975,11
7-29-75,29,7,1975,40
9/27/75,27,9,1975,3
2/11/76,11,2,1976,23
9/02/76,2,9,1976,27
9/20/76,20,9,1976,93
5/04/77,4,5,1977,123
5/21/77,21,5,1977,19
6/20/77,20,6,1977,117
7/11/77,11,7,1977,72
08/11/78,11,8,1978,65
2/03/78,3,2,1978,105
5/18/78,18,5,1978,6
8/04/78,4,8,1978,81
10/21/79,21,10,1979,21
7/06/79,6,7,1979,5
9/6/79,6,9,1979,75
4/22/80,22,4,1980,78
09/19/81,19,9,1981,74
1-14-81,14,1,1981,39
6/29/81,29,6,1981,80
10/16/82,16,10,1982,112
12/8/82,8,12,1982,88
4/12/82,12,4,1982,16
4-13-82,13,4,1982,25
7/04/82,4,7,1982,70
8/16/82,16,8,1982,44
9/22/82,22,9,1982,103
11/14/83,14,11,1983,99
3/15/83,15,3,1983,35
8/06/83,6,8,1983,61
8/22/83,22,8,1983,107
9/17/84,17,9,1984,48
5/11/85,11,5,1985,10
6/18/85,18,6,1985,1
10/24/86,24,10,1986,29
12/26/86,26,12,1986,54
3/7/86,7,3,1986,8
7/18/86,18,7,1986,96
1/21/87,21,1,1987,68
12/04/87,4,12,1987,116
12/5/87,5,12,1987,76
4/12/87,12,4,1987,32
6/24/87,24,6,1987,41
6/28/87,28,6,1987,63
5/24/88,24,5,1988,37
10/24/89,24,10,1989,7
4/05/89,5,4,1989,115
4-13-89,13,4,1989,71
8/26/89,26,8,1989,89
9/22/89,22,9,1989,26
11/05/90,5,11,1990,122
3/03/90,3,3,1990,22
06/20/91,20,6,1991,33
10/29/91,29,10,1991,66
3/31/91,31,3,1991,97
4/19/91,19,4,1991,91
5/24/91,24,5,1991,51
7/15/91,15,7,1991,46
7/6/91,6,7,1991,67
02/22/92,22,2,1992,62
07/17/92,17,7,1992,119
12/15/92,15,12,1992,113
6/13/92,13,6,1992,52
8/16/92,16,8,1992,100
03/25/93,25,3,1993,0
6/05/93,5,6,1993,86
